Organisation Name,Datafeed ID,% AVL to Timetables feed matching score,Latest matching report URL
Edward Thomas,14323,0.0,https://publish.bus-data.dft.gov.uk/org/326/dataset/avl/14323/download-matching-report/
Transport for Greater Manchester,14327,96.0,https://publish.bus-data.dft.gov.uk/org/978/dataset/avl/14327/download-matching-report/
AMK,14329,20.0,https://publish.bus-data.dft.gov.uk/org/433/dataset/avl/14329/download-matching-report/
Transport for Greater Manchester,14336,98.0,https://publish.bus-data.dft.gov.uk/org/978/dataset/avl/14336/download-matching-report/
Berry's Coaches,14348,80.0,https://publish.bus-data.dft.gov.uk/org/440/dataset/avl/14348/download-matching-report/
Isle Valley Transport,14349,,
BM Coaches and Rental Ltd,14392,,
London Vintage Bus Hire (trading as The London Bus Company),14396,0.0,https://publish.bus-data.dft.gov.uk/org/130/dataset/avl/14396/download-matching-report/
Mountain Goat,14422,,
Carolean Coaches Ltd,14441,83.0,https://publish.bus-data.dft.gov.uk/org/1021/dataset/avl/14441/download-matching-report/
SUNBEAM LUXURY COACHES LTD,14446,50.0,https://publish.bus-data.dft.gov.uk/org/1019/dataset/avl/14446/download-matching-report/
Roselyn Coaches,14452,,
J N Baker Ltd t/a Bakers Dolphin,14459,,
Troopers Lodge Motor Services Ltd,14556,,
Kevendy's Travel,14557,0.0,https://publish.bus-data.dft.gov.uk/org/935/dataset/avl/14557/download-matching-report/
Dartmouth Steam Railway And River Boat Company,14558,,
Dartmouth Steam Railway And River Boat Company,14566,,
Swans Travel,14596,,
James Bevan,14616,0.0,https://publish.bus-data.dft.gov.uk/org/558/dataset/avl/14616/download-matching-report/
Ashbourne Little Bus Co,14642,100.0,https://publish.bus-data.dft.gov.uk/org/49/dataset/avl/14642/download-matching-report/
West Oxfordshire Community Transport,14656,,
Royal Buses,14769,0.0,https://publish.bus-data.dft.gov.uk/org/5/dataset/avl/14769/download-matching-report/
Bus Link Ltd,14820,100.0,https://publish.bus-data.dft.gov.uk/org/1031/dataset/avl/14820/download-matching-report/
Northstar Constellation Limited (formerly RMC1510 Limited),14946,44.0,https://publish.bus-data.dft.gov.uk/org/1020/dataset/avl/14946/download-matching-report/
Reays Coaches,14980,,
Safeway Coaches Ltd,15011,,
Sweyne Coaches,15175,0.0,https://publish.bus-data.dft.gov.uk/org/678/dataset/avl/15175/download-matching-report/
First Bus,15211,86.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/15211/download-matching-report/
Ability (Northants) CIC,15332,,
Coastal & Country Coaches,15345,,
Archway Travel,15377,73.0,https://publish.bus-data.dft.gov.uk/org/729/dataset/avl/15377/download-matching-report/
Ashbourne Little Bus Co,15495,,
Fords Coaches,15513,0.0,https://publish.bus-data.dft.gov.uk/org/124/dataset/avl/15513/download-matching-report/
Daniel Trent TA Dan's Coach Travel,15189,9.0,https://publish.bus-data.dft.gov.uk/org/892/dataset/avl/15189/download-matching-report/
21 Transport LTD,15600,100.0,https://publish.bus-data.dft.gov.uk/org/1017/dataset/avl/15600/download-matching-report/
Sharpes of Nottingham,15617,91.0,https://publish.bus-data.dft.gov.uk/org/279/dataset/avl/15617/download-matching-report/
Fareline Bus & Coach Services,15647,,
Brian Jones Coaches,15648,100.0,https://publish.bus-data.dft.gov.uk/org/331/dataset/avl/15648/download-matching-report/
Dartmouth Steam Railway And River Boat Company,15652,,
R & J Coaches,15747,,
Chepstow Classic Buses,15785,0.0,https://publish.bus-data.dft.gov.uk/org/445/dataset/avl/15785/download-matching-report/
Hedge the Distance,15786,0.0,https://publish.bus-data.dft.gov.uk/org/763/dataset/avl/15786/download-matching-report/
R & J Coaches,15791,100.0,https://publish.bus-data.dft.gov.uk/org/426/dataset/avl/15791/download-matching-report/
Go-Ahead,15816,99.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/15816/download-matching-report/
Beestons,7134,63.0,https://publish.bus-data.dft.gov.uk/org/44/dataset/avl/7134/download-matching-report/
Lucketts of Watford,15896,0.0,https://publish.bus-data.dft.gov.uk/org/315/dataset/avl/15896/download-matching-report/
Starline,15914,,
Marchants Coaches,15974,22.0,https://publish.bus-data.dft.gov.uk/org/485/dataset/avl/15974/download-matching-report/
Craig of Campbeltown Ltd,15980,27.0,https://publish.bus-data.dft.gov.uk/org/76/dataset/avl/15980/download-matching-report/
Harpur's Coaches Ltd,16078,,
Rambler Coaches,16241,0.0,https://publish.bus-data.dft.gov.uk/org/683/dataset/avl/16241/download-matching-report/
Squarepeg,9944,100.0,https://publish.bus-data.dft.gov.uk/org/573/dataset/avl/9944/download-matching-report/
Heatons Coaches,16305,100.0,https://publish.bus-data.dft.gov.uk/org/666/dataset/avl/16305/download-matching-report/
HADLOW RURAL COMMUNITY SCHOOL LIMITED,16312,,
Transport for Greater Manchester,16387,96.0,https://publish.bus-data.dft.gov.uk/org/978/dataset/avl/16387/download-matching-report/
West Berkshire Council (UILTA),16425,,
Stagecoach,16172,100.0,https://publish.bus-data.dft.gov.uk/org/15/dataset/avl/16172/download-matching-report/
Marshalls Coaches LLP,16382,,
Centaur Coaches,10062,,
Stephensons of Essex,14017,95.0,https://publish.bus-data.dft.gov.uk/org/20/dataset/avl/14017/download-matching-report/
Pilkingtonbus,16899,100.0,https://publish.bus-data.dft.gov.uk/org/296/dataset/avl/16899/download-matching-report/
Marshalls Coaches LLP,16950,,
Marshalls Coaches LLP,16983,,
Regional Transport Ltd,17251,0.0,https://publish.bus-data.dft.gov.uk/org/795/dataset/avl/17251/download-matching-report/
Stowmarket Minibus & Coach Hire,17353,,
Transport Made Simple,7693,89.0,https://publish.bus-data.dft.gov.uk/org/225/dataset/avl/7693/download-matching-report/
Dartmouth Steam Railway And River Boat Company,17475,,
BM Coaches and Rental Ltd,14143,,
K B Coaches,17749,,
Andrews Coaches,17820,78.0,https://publish.bus-data.dft.gov.uk/org/193/dataset/avl/17820/download-matching-report/
Cruisers,17910,100.0,https://publish.bus-data.dft.gov.uk/org/233/dataset/avl/17910/download-matching-report/
M&H Coaches,18010,,
Cavern City Tours,18030,,
Pilkingtonbus,18056,60.0,https://publish.bus-data.dft.gov.uk/org/296/dataset/avl/18056/download-matching-report/
WNCT LTD,18138,100.0,https://publish.bus-data.dft.gov.uk/org/71/dataset/avl/18138/download-matching-report/
Shires Passenger Transport,18374,,
Maghull Coaches,18435,0.0,https://publish.bus-data.dft.gov.uk/org/560/dataset/avl/18435/download-matching-report/
Ashwood Travel,18464,100.0,https://publish.bus-data.dft.gov.uk/org/358/dataset/avl/18464/download-matching-report/
Marshalls Coaches LLP,18694,,
Marshalls Coaches LLP,18721,,
Centrebus Group,18865,100.0,https://publish.bus-data.dft.gov.uk/org/8/dataset/avl/18865/download-matching-report/
Transport for Greater Manchester,18880,97.0,https://publish.bus-data.dft.gov.uk/org/978/dataset/avl/18880/download-matching-report/
Maghull Coaches,17710,,
Notts & Derby Traction Co. Limited,16085,93.0,https://publish.bus-data.dft.gov.uk/org/74/dataset/avl/16085/download-matching-report/
Coach Events Services Ltd,19025,,
Coach Services,12152,0.0,https://publish.bus-data.dft.gov.uk/org/176/dataset/avl/12152/download-matching-report/
GATWICK HOPPA LTD,19128,0.0,https://publish.bus-data.dft.gov.uk/org/1162/dataset/avl/19128/download-matching-report/
Gateshead Central Taxis,19495,100.0,https://publish.bus-data.dft.gov.uk/org/838/dataset/avl/19495/download-matching-report/
F R Willetts,19549,,
Brookline Coaches Ltd,19706,100.0,https://publish.bus-data.dft.gov.uk/org/420/dataset/avl/19706/download-matching-report/
Peter Hodgson,19710,100.0,https://publish.bus-data.dft.gov.uk/org/788/dataset/avl/19710/download-matching-report/
Stowmarket Minibus & Coach Hire,19733,,
Skills Motor Coaches Ltd,19761,,
Boultons of Shropshire Ltd,19763,,
City Transport Group,19808,,
Autocar Bus & Coach Services,19936,96.0,https://publish.bus-data.dft.gov.uk/org/418/dataset/avl/19936/download-matching-report/
John Dix Travel LTD,20022,0.0,https://publish.bus-data.dft.gov.uk/org/836/dataset/avl/20022/download-matching-report/
KP CABS Cornwall Ltd,20223,,
Ensign Bus,20257,0.0,https://publish.bus-data.dft.gov.uk/org/18/dataset/avl/20257/download-matching-report/
HOWARDS TRAVEL AND OMEGA BUSWAYS LIMITED,20406,0.0,https://publish.bus-data.dft.gov.uk/org/959/dataset/avl/20406/download-matching-report/
Transport for Greater Manchester,20422,97.0,https://publish.bus-data.dft.gov.uk/org/978/dataset/avl/20422/download-matching-report/
Flagfinders,20548,,
Thames Valley Buses,20832,98.0,https://publish.bus-data.dft.gov.uk/org/234/dataset/avl/20832/download-matching-report/
Woods of Berwick Ltd,20840,,
Greenslades Tours (Exeter) Ltd,20950,,
Reading Buses,21134,96.0,https://publish.bus-data.dft.gov.uk/org/7/dataset/avl/21134/download-matching-report/
Star Cabs,13879,100.0,https://publish.bus-data.dft.gov.uk/org/597/dataset/avl/13879/download-matching-report/
Our Bus,21247,100.0,https://publish.bus-data.dft.gov.uk/org/186/dataset/avl/21247/download-matching-report/
CVS ESSEX LIMITED,21250,50.0,https://publish.bus-data.dft.gov.uk/org/995/dataset/avl/21250/download-matching-report/
Ipswich Buses,21276,96.0,https://publish.bus-data.dft.gov.uk/org/127/dataset/avl/21276/download-matching-report/
National Express West Midlands,10609,98.0,https://publish.bus-data.dft.gov.uk/org/62/dataset/avl/10609/download-matching-report/
Star Travel,21665,0.0,https://publish.bus-data.dft.gov.uk/org/263/dataset/avl/21665/download-matching-report/
Grayscroft Coaches,21840,87.0,https://publish.bus-data.dft.gov.uk/org/96/dataset/avl/21840/download-matching-report/
Go-Ahead,22163,100.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/22163/download-matching-report/
Nottingham County Council,22371,,
Lakeside Coaches Ltd,22761,13.0,https://publish.bus-data.dft.gov.uk/org/141/dataset/avl/22761/download-matching-report/
Imperial Coaches,19997,100.0,https://publish.bus-data.dft.gov.uk/org/765/dataset/avl/19997/download-matching-report/
Uno,23457,90.0,https://publish.bus-data.dft.gov.uk/org/22/dataset/avl/23457/download-matching-report/
Kempsford Transport UK Ltd,20175,66.0,https://publish.bus-data.dft.gov.uk/org/1169/dataset/avl/20175/download-matching-report/
Linkrider coaches,23576,100.0,https://publish.bus-data.dft.gov.uk/org/1014/dataset/avl/23576/download-matching-report/
Pilkingtonbus,23745,25.0,https://publish.bus-data.dft.gov.uk/org/296/dataset/avl/23745/download-matching-report/
Zero2 Bus Museum Ltd,23815,,
PETER HOGG OF JEDBURGH LTD,24059,,
PETER HOGG OF JEDBURGH LTD,24063,,
SMT Bus and Coach Ltd,24109,,
Yarranton Brothers,24132,100.0,https://publish.bus-data.dft.gov.uk/org/173/dataset/avl/24132/download-matching-report/
Transport Made Simple,24177,14.0,https://publish.bus-data.dft.gov.uk/org/225/dataset/avl/24177/download-matching-report/
Northumberland Travel,24187,0.0,https://publish.bus-data.dft.gov.uk/org/1182/dataset/avl/24187/download-matching-report/
ALBATROSS BUS & COACHES LTD,24219,100.0,https://publish.bus-data.dft.gov.uk/org/1186/dataset/avl/24219/download-matching-report/
