"operator","noc"
"Community Transport South Wiltshire","CTSW"
"Compass Travel","COMT"
"Connect2Wiltshire","C2WI"
"Coopers Tours Ltd","CPTR"
"Cornwall Council (including Isles of Scilly)  (UILTA)","CORN"
"Cotswold Green","COTS"
"Country Bus","CNTY"
"Coventry Minibuses","COMI"
"Craig of Campbeltown Ltd","BORD"
"Craig of Campbeltown Ltd","PERY"
"Cresta Coaches","CRES"
"Crosskeys Coaches","CRKC"
"Cross Street Travel Ltd","CSTR"
"Cruisers","MINI"
"CT4N Ltd","NOCT"
"CT Coaches","CTCO"
"Cuckmere Buses","CKMR"
"Cumbria County Council (LTA)","CumbLTA"
"Cumfybus","CUBU"
"CVS ESSEX LIMITED","CVSE"
"Cymru Coaches Ltd","CYMC"
"Daniel Trent TA Dan's Coach Travel","DNCT"
"Dansa LTD","DVPA"
"Dartline Coaches","DTCO"
"Dartmouth Steam Railway And River Boat Company","DPCR"
"David Goodfellow Travel","DGTR"
"Delaine Buses","DELA"
"Dents Coaches","DENN"
"Department for Transport","DFT"
"Derbyshire Community Transport","CT4T"
"Derbyshire County Council (UILTA)","DshireLTA"
"Derby (UILTA)","DerbyLTA"
"Devon County Council (UILTA)","DEVONLTA"
"Dickinsons Coaches","DIKI"
"Discover Dorset","DDLT"
"DISCOVER DORSET LTD",""
"Dons Coaches (Dunmow) Ltd","DONS"
"Dorset Council (LTA)","DOCC"
"DRM Coaches","DRMC"
"D R Taxis Llanelli Ltd","DRTM"
"Duck Tours","DUCK"
"Dunnett's Transport Ltd","DUTR"
"Durham County Council (UILTA)","DCCL"
"DVSA","DVSA"
"East Midlands Combined County Authority (UILTA)","EMCCA"
"East Riding of Yorkshire Council (UILTA)","ERYLTA"
"East Sussex County Council (UILTA)","ESussLTA"
"Edwards Coaches Limited","EDWC"
"Edward Thomas","EDTM"
"Ellenvale Coaches","ELNV"
"Ember Core Ltd","EMBR"
"Englands","ENLI"
"England's Economic Heartland","EEH"
"Ensign Bus","ENSB"
"Esk Valley Coaches","ESKV"
"Essex County Council (UILTA)","EssexLTA"
"E Stott & Sons Ltd","ESTS"
"Eurocoaches Ltd","EUTX"
"Evolve Bus & Coach","LCCO"
"E-zec Medical Transport Services","EZMT"
"Falcon Buses","FALC"
"Fal River Links","10567"
"Fareline Bus & Coach Services","FABC"
"Faresaver Buses","FOSS"
"Faresaver Buses","FSRV"
"Fargo Coaches","FARG"
"Farleigh Coaches","FARL"
"Fastline Travel","FLNE"
"Faversham Town Council","FVTC"
"Feline Executive Travel","FELT"
"Felix Taxis & Co.","FXTX"
"Ferryhill Village Travel","FVTL"
"Fife Council (UILTA)","FifeLTA"
"Filers Travel Limited","FTZL"
"Finestyle Coaches","SLCH"
"First Bus","FABD"
"First Bus","FBOS"
"First Bus","FBRA"
"First Bus","FBRI"
"First Bus","FCWL"
"First Bus","FCYM"
"First Bus","FDOR"
"First Bus","FECS"
"First Bus","FESX"
"First Bus","FGLA"
"First Bus","FHAL"
"First Bus","FHAM"
"First Bus","FHUD"
"First Bus","FLDS"
"First Bus","FLEI"
"First Bus","FMAN"
"First Bus","FPOT"
"First Bus","FSMR"
"First Bus","FSYO"
"First Bus","FTVA"
"First Bus","FWYO"
"First Bus","FYOR"
"First Bus","RRAR"
"First Bus London","EPSM"
"First Bus London","LSOV"
"First Bus London","LUTD"
"First Bus London","QULN"
"First Bus London","TDEV"
"First & Last Mile","FALM"
"Fords Coaches","FRDS"
"Fourways Coaches","FWAY"
"Fowlers Travel","FOWT"
"Frome Bus","FRMN"
"F R Willetts","GWIL"
"Gateshead Central Taxis","GHCT"
"GATWICK HOPPA LTD","GHOP"
"GEM Mini Travel Ltd","GMMN"
"Gemsar Travel Ltd","GEMS"
"Gem Travel","GATS"
"Generation Travel Ltd","GTLT"
"Glen Valley Tours","GVTR"
"Globe Holidays Ltd","BBCG"
"Globe Holidays Ltd","GLCS"
"Gloucestershire County Council","GLCC"
"Gloucestershire County Council (UILTA)","GLOULTA"
"Go-Ahead","BHBC"
"Go-Ahead","BLUS"
"Go-Ahead","BTRI"
"Go-Ahead","CROP"
"Go-Ahead","CSLB"
"Go-Ahead","CSSO"
"Go-Ahead","DAMY"
"Go-Ahead","DBLU"
"Go-Ahead","DDIS"
"Go-Ahead","ETBU"
"Go-Ahead","EYMS"
"Go-Ahead","FAST"
"Go-Ahead","GAGL"
"Go-Ahead","GAHL"
"Go-Ahead","GAWY"
"Go-Ahead","GNEL"
"Go-Ahead","GONW"
"Go-Ahead","GOSW"
"Go-Ahead","KNCO"
"Go-Ahead","LCAG"
"Go-Ahead","LGEN"
"Go-Ahead","LONC"
"Go-Ahead","MBGA"
"Go-Ahead","METR"
"Go-Ahead","NATI"
"Go-Ahead","OEXP"
"Go-Ahead","OXBC"
"Go-Ahead","PLYC"
"Go-Ahead","PROC"
"Go-Ahead","PULH"
"Go-Ahead","SDMS"
"Go-Ahead","SVCT"
"Go-Ahead","SWWD"
"Go-Ahead","TDTR"
"Go-Ahead","TFCN"
"Go-Ahead","THTR"
"Go-Ahead","TOUR"
"Go-Ahead","UNBU"
"Go-Ahead","UNIL"
"Go-Ahead","WDBC"
"GO-Coach Hire Ltd","GOCH"
"Golden Tours","GTSL"
"Grant Palmer","GPLM"
"Grayline Coaches","GYLC"
"Grayscroft Coaches","GRYC"
"Greater Manchester Combined Authority  (UILTA)","MANC"
"Greenslades Tours (Exeter) Ltd","GNSL"
"Grindles Coaches","GRIN"
"Grosvenor Coaches","GRVN"
"Gwent Vales Travel Limited","GVTL"
"HADLOW RURAL COMMUNITY SCHOOL LIMITED","HRCS"
"Hampshire County Council (UILTA)","HCCT"
"Hampton Coaches","HMPT"
"Hams Travel","HAMS"
"Harpur's Coaches Ltd","HASO"
"Harrods Coaches","HACO"
"Harrogate Coach Travel Ltd","HCTY"
"Harrogate Coach Travel Ltd","HGCT"
"Harrogate Coach Travel Ltd","YRRB"
"Hatch Green Coaches","HGCO"
"Hattons Transport Ltd","HATT"
"Hawkes Coaches","HWKS"
"Haytaxibus","LOWI"
"Heatons Coaches","WCTY"
"Hedge the Distance","HEDG"
"Henshaw's Executive Travel","HENS"
"Herefordshire Council (UILTA)","HereLTA"
"Hertfordshire County Council (UILTA)","HERTLTA"
"Hiltons Travel","HILT"
"Hodgson Coach Operators","HDGS"
"Hollinshead Coaches","HOLL"
"Holmeswood Coaches Ltd","HWCO"
