line_key,operator_ref,n_trips,mean_prob_noncompliant,total_hypothetical_exposure,mean_hypothetical_exposure,observed_compliance_rate,service_reliability,below_85_threshold,gap_to_85,status,near_85
79C,ANWE,323,0.4690160815161077,274.2489644968667,0.8490680015382869,0.5232198142414861,0.5232198142414861,1,0.32678018575851386,below_85,0
82A,ANWE,227,0.4353747464872052,178.9137967137861,0.7881665053470753,0.5638766519823789,0.5638766519823789,1,0.28612334801762107,below_85,0
110,ANWE,182,0.37127316722787296,122.32625808675684,0.6721222971799826,0.5879120879120879,0.5879120879120879,1,0.26208791208791204,below_85,0
61,ANWE,106,0.4504186216331734,86.4324736906337,0.8154006951946575,0.5283018867924528,0.5283018867924528,1,0.32169811320754715,below_85,0
1,ANWE,133,0.2999006326052346,72.20774175821255,0.5429153515655079,0.7443609022556391,0.7443609022556391,1,0.10563909774436087,below_85,0
X4,ANWE,111,0.3480353106628154,69.93603836668959,0.6300543996999062,0.6756756756756757,0.6756756756756757,1,0.17432432432432432,below_85,0
X30,ANWE,80,0.43570841032296714,63.10164342518654,0.7887705428148317,0.5875,0.5875,1,0.26249999999999996,below_85,0
2,ANWE,130,0.23439172799033528,55.162046905535014,0.42432343773488473,0.8,0.8,1,0.04999999999999993,below_85,1
P5,ANWE,25,0.9242091425616998,41.82779869411185,1.673111947764474,0.0,0.0,1,0.85,below_85,0
3C,ANWE,31,0.43545103201335794,24.437442797378214,0.7883046063670391,0.41935483870967744,0.41935483870967744,1,0.43064516129032254,below_85,0
3A,ANWE,27,0.45623420109000884,22.300075986135216,0.8259287402272302,0.48148148148148145,0.48148148148148145,1,0.3685185185185185,below_85,0
P2,ANWE,12,0.9511235500747661,20.66202683543373,1.7218355696194774,0.0,0.0,1,0.85,below_85,0
P14,ANWE,8,0.9583809188065381,13.879789687604527,1.7349737109505659,0.0,0.0,1,0.85,below_85,0
20,ANWE,9,0.5288572716324383,8.616595975668513,0.957399552852057,0.3333333333333333,0.3333333333333333,1,0.5166666666666666,below_85,0
20A,ANWE,10,0.396895557699282,7.18506958025446,0.718506958025446,0.3,0.3,1,0.55,below_85,0
P12,ANWE,4,0.9510999379647676,6.887171296817887,1.7217928242044718,0.0,0.0,1,0.85,below_85,0
P10,ANWE,3,0.951760196338756,5.168964304401671,1.7229881014672237,0.0,0.0,1,0.85,below_85,0
