hour_of_day,n_trips,mean_prob_noncompliant,total_hypothetical_exposure,observed_compliance_rate
3.0,9,0.2563973530117374,4.177445444426949,1.0
4.0,26,0.2607521343947804,12.273147684457815,0.7692307692307693
5.0,61,0.28538861922858705,31.51528402228955,0.7540983606557377
6.0,78,0.32726417388901724,46.21125975395727,0.7692307692307693
7.0,103,0.5283743924277985,98.52211498425734,0.4368932038834951
8.0,92,0.3869322186087758,64.44325392022922,0.5760869565217391
9.0,96,0.35052440622750863,60.91780347466264,0.6979166666666666
10.0,71,0.3320981329454399,42.685416451307084,0.7183098591549296
11.0,93,0.5056916467270974,85.13800483742804,0.46236559139784944
12.0,65,0.323604148041548,38.078705563000085,0.7230769230769231
13.0,76,0.3777837790751668,51.97705143282111,0.6052631578947368
14.0,82,0.43782020650459885,64.99267227383585,0.5487804878048781
15.0,105,0.4505072369583493,85.63391729183289,0.37142857142857144
16.0,125,0.44840579639176226,101.46960531444539,0.544
17.0,95,0.5169688468802885,88.90838434501914,0.43157894736842106
18.0,72,0.5214220629884968,67.96364146724349,0.4444444444444444
19.0,53,0.3711545073728204,35.611096714144736,0.6981132075471698
20.0,39,0.41085912275635333,29.007632302605103,0.6666666666666666
21.0,38,0.43644574072553144,30.024003106831437,0.5526315789473685
22.0,37,0.46047664054805026,30.843529390741107,0.4864864864864865
23.0,5,0.32037793254540886,2.8999288259368154,0.6
