model_name,accuracy,precision_score,recall_score,f1,roc_auc,train_seconds,f1_per_second,best_params,notes
LogisticRegression,0.7393258426966293,0.7631466968809997,0.7393258426966292,0.7205966427520187,0.7942627368071964,22.54761004447937,0.03195889237619896,"regParam=0.01, elasticNetParam=0.0",CrossValidator on train; metrics on held-out test
RandomForest,0.7707865168539326,0.8056231448043039,0.7707865168539325,0.7536350251840371,0.8132902209509596,8.477843999862671,0.08889465590499719,"numTrees=40, maxDepth=5",CrossValidator on train; metrics on held-out test
GBT,0.7707865168539326,0.7905191212672714,0.7707865168539325,0.7580870317258808,0.8347738672636074,15.530381679534912,0.04881316167038228,"maxDepth=3, stepSize=0.1",CrossValidator on train; metrics on held-out test
